[Wed May 14 17:09:45.926389 2014] [:error] [pid 5228:tid 1504] [client 127.0.0.1:59975] PHP Fatal error:  Uncaught exception 'UnexpectedValueException' with message 'The stream or file "C:/wamp/www/Symfony/app/logs/prod.log" could not be opened: failed to open stream: No such file or directory' in C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\prod\\classes.php:4969\nStack trace:\n#0 C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\prod\\classes.php(4913): Monolog\\Handler\\StreamHandler->write(Array)\n#1 C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\prod\\classes.php(4838): Monolog\\Handler\\AbstractProcessingHandler->handle(Array)\n#2 C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\prod\\classes.php(5036): Monolog\\Handler\\AbstractHandler->handleBatch(Array)\n#3 C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\prod\\classes.php(5252): Monolog\\Handler\\FingersCrossedHandler->handle(Array)\n#4 C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\prod\\classes.php(5352): Monolog\\Logger->addRecord(500, 'Uncaught PHP Ex...', Array)\n#5 C:\\Users\\yannick.dieng\\Workspace\\Symfony\\vendor\\symfony\\symfony\\src\\Symfony\\Component\\ in C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\prod\\classes.php on line 4969
[Thu May 15 10:12:41.257169 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Users\\yannick.dieng\\Workspace\\Symfony\\src\\Serialken\\BlogBundle\\Controller\\BlogController.php on line 23
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP Stack trace:
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP   1. {main}() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\web\\app_dev.php:0
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP   2. Symfony\\Component\\HttpKernel\\Kernel->handle() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\web\\app_dev.php:28
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP   3. Symfony\\Component\\HttpKernel\\DependencyInjection\\ContainerAwareHttpKernel->handle() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\bootstrap.php.cache:2304
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP   4. Symfony\\Component\\HttpKernel\\HttpKernel->handle() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\bootstrap.php.cache:3036
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP   5. Symfony\\Component\\HttpKernel\\HttpKernel->handleRaw() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\bootstrap.php.cache:2897
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP   6. Symfony\\Component\\HttpKernel\\Debug\\TraceableEventDispatcher->dispatch() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\bootstrap.php.cache:2914
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP   7. Symfony\\Component\\EventDispatcher\\ContainerAwareEventDispatcher->dispatch() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\vendor\\symfony\\symfony\\src\\Symfony\\Component\\HttpKernel\\Debug\\TraceableEventDispatcher.php:138
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP   8. Symfony\\Component\\EventDispatcher\\EventDispatcher->dispatch() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:1831
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP   9. Symfony\\Component\\EventDispatcher\\EventDispatcher->doDispatch() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:1667
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  10. call_user_func() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:1734
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  11. Symfony\\Component\\HttpKernel\\Debug\\TraceableEventDispatcher->Symfony\\Component\\HttpKernel\\Debug\\{closure}() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:1734
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  12. call_user_func() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\vendor\\symfony\\symfony\\src\\Symfony\\Component\\HttpKernel\\Debug\\TraceableEventDispatcher.php:388
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  13. Symfony\\Component\\HttpKernel\\EventListener\\RouterListener->onKernelRequest() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\vendor\\symfony\\symfony\\src\\Symfony\\Component\\HttpKernel\\Debug\\TraceableEventDispatcher.php:388
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  14. Symfony\\Component\\Routing\\Router->matchRequest() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:1948
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  15. Symfony\\Component\\Routing\\Router->getMatcher() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:1238
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  16. Symfony\\Component\\Routing\\Router->getMatcherDumperInstance() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:1255
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  17. Symfony\\Bundle\\FrameworkBundle\\Routing\\Router->getRouteCollection() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:1293
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  18. Symfony\\Bundle\\FrameworkBundle\\Routing\\DelegatingLoader->load() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:1498
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  19. Symfony\\Bundle\\FrameworkBundle\\Controller\\ControllerNameParser->parse() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\vendor\\symfony\\symfony\\src\\Symfony\\Bundle\\FrameworkBundle\\Routing\\DelegatingLoader.php:63
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  20. class_exists() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:2318
[Thu May 15 10:12:41.262170 2014] [:error] [pid 1228:tid 1520] [client 127.0.0.1:49776] PHP  21. Symfony\\Component\\Debug\\DebugClassLoader->loadClass() C:\\Users\\yannick.dieng\\Workspace\\Symfony\\app\\cache\\dev\\classes.php:0
